id;nombre;codigo;descripcion
1;summarise phew phew;introduce slam;oeuvre
2;chauffeur meanwhile ack;completion;list
3;eek bah sans;cone;ram used vague
4;spool;into apud zowie;soulful discredit
5;yeast but after;frigid;nervously barter
6;quaintly;than underlie exult;pish however story-telling
7;throughout whereas inside;above cheerful aha;courteous for resettle
8;shrilly checking;although thrill;yuck regarding per
9;institute ick phew;pate mad instantly;summon greatly happily
10;meanwhile populate deodorant;around equally;longingly generally
