id;nombre;codigo;descripcion;catalogo_codigo;activo
1;history hm minus;startle jumpy;consequently above smug;or;false
2;cold verbally facility;although concrete;huzzah generously huzzah;earth;false
3;during when;pension greatly;finally river whoever;while;false
4;round next reveal;attest repel;or agreeable detective;hellcat collar;false
5;click;provided;quixotic not detailed;mmm ravel;false
6;kissingly blackness;alongside preoccupy vastly;after oh;christen;true
7;truthfully;ha;depute;yet;true
8;broker energize;voluntarily;perfectly prize;extremely saw likely;false
9;fatally sweetly save;hm ugh;pace;phew rheumatism;true
10;clipboard choke;loftily above;however;dare;true
