id;nombre;descripcion;url;activo;icono;visible
1;reliable hence;worth;https://agonizing-psychoanalyst.name/;false;seize shyly;true
2;illuminate;distinct aha;https://infamous-cassock.name;false;upbeat;true
3;unimportant so kissingly;boohoo spectacle pish;https://remote-war.info;true;failing warrant brr;false
4;cleverly um;astride yahoo;https://mammoth-cornmeal.name/;true;underneath wetly thesis;false
5;safely;pfft;https://impossible-teller.org;true;instantly eek whoa;true
6;unto;lace rude;https://adolescent-probation.org/;false;haunting up;true
7;eek beneath now;satisfied underneath;https://gargantuan-revitalisation.name/;false;partner overjoyed immediately;true
8;apprise mortally;along;https://thoughtful-replication.biz/;true;enroll speaking;false
9;psst;boastfully brainstorm greedily;https://strict-ore.org;false;a;true
10;pfft united;instrumentation encompass;https://shallow-chill.net/;true;as hesitation raze;true
