id;nombre;codigo;clase;valor
1;yahoo;ew fan;columnist;deconstruct yippee flustered
2;onto sans jail;sociable per;now;whereas kiddingly
3;wonderful shallow;thin;idiom;what
4;up whether verbally;sewer dissociate;till before;disgusting shy
5;avaricious farmer school;magnitude by gondola;killing whenever jaded;overconfidently shimmering racer
6;similarity lest where;onto;ugh;noisily political beside
7;sweetly specific plus;herring;hourly;rapidly
8;opulent;by defray;hosepipe;lest
9;why;factorize;hmph except;modulo hydrolyze
10;kindly yawning;story-telling;beverage;well
