id;codigo;nombre;pais
1;estimate indication question;oh a;ken majestically
2;invalidate soon overstock;ouch queasy inside;resurface clearly
3;gratefully during angstrom;stable twine classic;commonly participation aha
4;pish team;huzzah whether;squid ring
5;around whether yet;bitterly creolise;yahoo oof boohoo
6;meanwhile where droopy;except ew;oh
7;crowded yowza;pasteurise below;yahoo shower unnaturally
8;granular descend strange;epitomize;snuck harrumph
9;far;yuck;letter honestly apropos
10;yum;stand huzzah for;nice perch given
